,location,title,company,salary,salrange
271,"Chicago, IL",Data Science Intern (Master's Program),Cars.com,No Salary Listed,60000
272,"Chicago, IL",Business Intelligence Developer,No Company Listed,No Salary Listed,60000
273,"Chicago, IL",Product Owner - McKinsey Academy,McKinsey & Company,No Salary Listed,60000
274,"Chicago, IL 60654 (Loop area)",Knowledge Analyst - Data Engineering,The Boston Consulting Group,No Salary Listed,60000
275,"Chicago, IL 60654 (Loop area)",Computational Biologists- Pharmacogenomics,Tempus,No Salary Listed,60000
276,"Chicago, IL 60601 (Loop area)","Sr. Analyst, Data Science",Catalina Marketing,No Salary Listed,60000
277,"Chicago, IL",Statistical Analyst -- Health-7444,No Company Listed,"$80,000 a year",60000
278,"Chicago, IL 60654 (Loop area)",Computational Biologist- Statistical Genetics,Tempus,No Salary Listed,60000
279,"Chicago, IL",Product Manager - New Ventures Technology Emerging Solutions,McKinsey & Company,No Salary Listed,60000
280,"Deerfield, IL",Research Scientist I,Baxter,No Salary Listed,60000
281,"Chicago, IL 60602 (Loop area)",Healthcare Research Scientist,No Company Listed,No Salary Listed,60000
282,"Chicago, IL 60654 (Loop area)",Senior Financial Analyst - Sales,Dyson,No Salary Listed,60000
283,"Chicago, IL 60601 (Loop area)",Big Data Manager,United Airlines Inc.,No Salary Listed,60000
284,"Chicago, IL",Feasibility Research Analyst II - Novella Clinical,Novella Clinical,No Salary Listed,60000
285,"Oak Brook, IL",Principal Quantitative Analyst UOF - E04,Exelon,No Salary Listed,60000
286,"Chicago, IL",Data Science Internship-Summer & Academic Year,Tempus,No Salary Listed,60000
287,"Chicago, IL",Associate Intern - Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",No Salary Listed,60000
288,"Chicago, IL 60602 (Loop area)",Healthcare Research Scientist,No Company Listed,No Salary Listed,60000
289,"Oak Brook, IL",Principal Quantitative Analyst UOF - E04,Exelon,No Salary Listed,60000
290,"Chicago, IL",Statistical Pairs Trading Position,T3 Trading Group LLC,No Salary Listed,60000
291,"Oak Brook, IL",Sr Quantitative Analyst UOF - E03,Exelon,No Salary Listed,60000
292,"Chicago, IL",Lead Data Architect,No Company Listed,No Salary Listed,60000
293,"Chicago, IL 60654 (Loop area)","Senior Manager, Insights & Market Data",Dyson,No Salary Listed,60000
294,"Chicago, IL",Senior Business Process Consultant,VWR,No Salary Listed,60000
295,"Chicago, IL",Senior Back-End Software Developer,IDEO,No Salary Listed,60000
296,"Chicago, IL",Manager Research Analyst,Morningstar,No Salary Listed,60000
297,"Chicago, IL",Data Science Internship-Summer & Academic Year,Tempus,No Salary Listed,60000
298,"Chicago, IL",Fixed Income Municipal Research Analyst,Northern Trust Corp.,No Salary Listed,60000
299,"Chicago, IL",Digital Marketing Consultant III - Chicago,CDK Global,No Salary Listed,60000
300,"Chicago, IL",Associate Intern - Data Scientist,"Blue Cross Blue Shield of IL, MT, NM, OK & TX",No Salary Listed,60000
