,location,title,company,salary,salrange,state,city
3822,"Chicago, IL",Senior Data Scientist,AllianceData,No Salary Listed,100000,IL,Chicago
3823,"Chicago, IL",Senior Data Scientist,Epsilon,No Salary Listed,100000,IL,Chicago
3824,"Chicago, IL 60606 (Loop area)",Data Scientist/Statistics - Applied Technology - 13307,Crowe Horwath,No Salary Listed,100000,IL,Chicago
3825,"Chicago, IL","Data Scientist, Advanced Data Analytics",Jackson National Life Insurance Company,No Salary Listed,100000,IL,Chicago
3826,"Chicago, IL",Capital One - Data Science Manager,No Company Listed,No Salary Listed,100000,IL,Chicago
3827,"Chicago, IL",Big Data Manager,United Airlines,No Salary Listed,100000,IL,Chicago
3828,"Chicago, IL",Regulatory Data Scientist,Chicago Mercantile Exchange Inc.,No Salary Listed,100000,IL,Chicago
3829,"Rosemont, IL",Data Scientist,American Academy of Orthopaedic Surgeons,No Salary Listed,100000,IL,Rosemont
3830,"Chicago, IL",Data Scientist - Predictive Modeler - P&C/Health/Life-7644,No Company Listed,130000,100000,IL,Chicago
3831,"Chicago, IL",Senior Applied Data Scientist-Chicago,No Company Listed,No Salary Listed,100000,IL,Chicago
3832,"Chicago, IL",Data Scientist II,American Family Insurance,No Salary Listed,100000,IL,Chicago
3833,"Chicago, IL",Quantitative Analyst - Credit Risk,Fifth Third Bank,No Salary Listed,100000,IL,Chicago
3834,"Chicago, IL",Data Science Manager,Capital One,No Salary Listed,100000,IL,Chicago
3835,"Chicago, IL",Scientist - Data and Statistics,United Airlines,No Salary Listed,100000,IL,Chicago
3836,"Chicago, IL",Data Visualization/Front End Developer,No Company Listed,No Salary Listed,100000,IL,Chicago
3837,"Chicago, IL",Director of Data Science,Capital One,No Salary Listed,100000,IL,Chicago
3838,"Chicago, IL",Director - Sr Research Scientist,IRI,No Salary Listed,100000,IL,Chicago
3839,"Chicago, IL",Data Quality Engineer,University of Chicago,No Salary Listed,100000,IL,Chicago
3840,"Chicago, IL",Capital One - Director of Data Science,No Company Listed,No Salary Listed,100000,IL,Chicago
3841,"Deerfield, IL",Data Scientist,No Company Listed,125000,100000,IL,Deerfield
3842,"Chicago, IL",No Job Title Listed,Hyatt,No Salary Listed,100000,IL,Chicago
3843,"Chicago, IL",Quantitative Risk Analyst,Huxley Associates,100000,100000,IL,Chicago
3844,"Chicago, IL",Senior Data Scientist - Natural Language Processing,No Company Listed,No Salary Listed,100000,IL,Chicago
3845,"Chicago, IL",Lead Data Scientist,ISO,No Salary Listed,100000,IL,Chicago
3846,"Chicago, IL",Center for Excellence in Survey Research - Multiple Opportun...,National Opinion Research Center (NORC),No Salary Listed,100000,IL,Chicago
3847,"Chicago, IL",Business Intelligence Developer,No Company Listed,No Salary Listed,100000,IL,Chicago
3848,"Chicago, IL",Product Owner - McKinsey Academy,McKinsey & Company,No Salary Listed,100000,IL,Chicago
3849,"Chicago, IL",Product Manager - New Ventures Technology Emerging Solutions,McKinsey & Company,No Salary Listed,100000,IL,Chicago
3850,"Deerfield, IL",Research Scientist I,Baxter,No Salary Listed,100000,IL,Deerfield
3851,"Chicago, IL 60602 (Loop area)",Healthcare Research Scientist,No Company Listed,No Salary Listed,100000,IL,Chicago
3852,"Chicago, IL 60601 (Loop area)",Big Data Manager,United Airlines Inc.,No Salary Listed,100000,IL,Chicago
3853,"Oak Brook, IL",Sr Quantitative Analyst UOF - E03,Exelon,No Salary Listed,100000,IL,Oak Brook
